DateOfRSPS,Region-Zone,Hub Name,RunsheetType,FHRID,DeliveryType,Delivered
05-May-20,Andhra-2,Hub 10,runSheet,FHR-43,Type 1,20
05-May-20,Andhra-2,Hub 10,runSheet,FHR-44,Type 1,9
05-May-20,Andhra-2,Hub 10,runSheet,FHR-45,Type 3,2
05-May-20,Andhra-2,Hub 10,runSheet,FHR-46,Type 3,1
05-May-20,Jharkhand,Hub 2,runSheet,FHR-47,Type2,12
05-May-20,Jharkhand,Hub 2,runSheet,FHR-48,Type2,6
05-May-20,Jharkhand,Hub 2,runSheet,FHR-49,Type2,5
05-May-20,Jharkhand,Hub 2,runSheet,FHR-50,Type2,3
05-May-20,Jharkhand,Hub 2,runSheet,FHR-51,Type2,19
05-May-20,Jharkhand,Hub 2,runSheet,FHR-52,Type2,4
05-May-20,Jharkhand,Hub 2,runSheet,FHR-53,Type2,6
05-May-20,Jharkhand,Hub 2,runSheet,FHR-101,Type2,18
05-May-20,Jharkhand,Hub 2,runSheet,FHR-54,Type2,11
05-May-20,Jharkhand,Hub 2,runSheet,FHR-55,Type2,21
05-May-20,Jharkhand,Hub 2,runSheet,FHR-56,Type2,11
05-May-20,Jharkhand,Hub 2,runSheet,FHR-57,Type2,9
05-May-20,Jharkhand,Hub 2,runSheet,FHR-58,Type2,8
05-May-20,Jharkhand,Hub 2,runSheet,FHR-59,Type2,24
05-May-20,Jharkhand,Hub 2,runSheet,FHR-60,Type2,19
05-May-20,Jharkhand,Hub 2,runSheet,FHR-61,Type2,22
05-May-20,Jharkhand,Hub 2,runSheet,FHR-62,Type2,8
05-May-20,Jharkhand,Hub 2,runSheet,FHR-63,Type2,6
05-May-20,Jharkhand,Hub 2,runSheet,FHR-64,Type2,14
05-May-20,North Bengal,Hub 7,runSheet,FHR-145,Type2,12
05-May-20,North Bengal,Hub 7,runSheet,FHR-146,Type2,18
05-May-20,North Bengal,Hub 7,runSheet,FHR-203,Type2,22
05-May-20,North Bengal,Hub 7,runSheet,FHR-204,Type2,30
05-May-20,North Bengal,Hub 7,runSheet,FHR-147,Type2,1
05-May-20,North Bengal,Hub 7,runSheet,FHR-148,Type2,18
05-May-20,North Bengal,Hub 7,runSheet,FHR-205,Type2,16
05-May-20,North Bengal,Hub 7,runSheet,FHR-206,Type2,24
05-May-20,North Bengal,Hub 7,runSheet,FHR-207,Type2,35
05-May-20,North Bengal,Hub 7,runSheet,FHR-208,Type2,11
05-May-20,North Bengal,Hub 7,runSheet,FHR-65,Type 1,12
05-May-20,North Bengal,Hub 7,runSheet,FHR-66,Type 1,30
05-May-20,North Bengal,Hub 7,runSheet,FHR-68,Type 1,15
05-May-20,North Bengal,Hub 7,runSheet,FHR-71,Type 1,23
05-May-20,North Bengal,Hub 9,runSheet,FHR-103,Type2,18
05-May-20,North Bengal,Hub 9,runSheet,FHR-150,Type2,19
05-May-20,North Bengal,Hub 9,runSheet,FHR-105,Type2,12
05-May-20,North Bengal,Hub 9,runSheet,FHR-152,Type2,15
05-May-20,North Bengal,Hub 9,runSheet,FHR-209,Type2,21
05-May-20,North Bengal,Hub 9,runSheet,FHR-153,Type2,6
05-May-20,North Bengal,Hub 9,runSheet,FHR-108,Type2,4
05-May-20,North Bengal,Hub 9,runSheet,FHR-154,Type2,14
05-May-20,North East,Hub 6,runSheet,FHR-210,Type 1,1
05-May-20,North East,Hub 6,runSheet,FHR-113,Type 1,2
05-May-20,North East,Hub 6,runSheet,FHR-211,Type 1,1
05-May-20,North East,Hub 6,runSheet,FHR-117,Type 1,0
05-May-20,North East,Hub 6,runSheet,FHR-212,Type 1,2
05-May-20,Odisha,Hub 12,runSheet,FHR-213,Type2,13
05-May-20,Odisha,Hub 12,runSheet,FHR-155,Type2,8
05-May-20,Odisha,Hub 12,runSheet,FHR-157,Type2,10
05-May-20,Odisha,Hub 12,runSheet,FHR-158,Type2,5
05-May-20,Odisha,Hub 12,runSheet,FHR-160,Type2,3
05-May-20,Odisha,Hub 12,runSheet,FHR-161,Type2,9
05-May-20,Odisha,Hub 12,runSheet,FHR-163,Type2,24
05-May-20,Odisha,Hub 12,runSheet,FHR-164,Type2,4
05-May-20,Odisha,Hub 12,runSheet,FHR-165,Type2,3
05-May-20,Odisha,Hub 12,runSheet,FHR-166,Type2,6
05-May-20,Odisha,Hub 12,runSheet,FHR-198,Type2,11
05-May-20,Odisha,Hub 12,runSheet,FHR-167,Type2,10
05-May-20,Odisha,Hub 12,runSheet,FHR-168,Type2,5
05-May-20,Odisha,Hub 12,runSheet,FHR-169,Type2,22
05-May-20,Odisha,Hub 12,runSheet,FHR-170,Type2,13
05-May-20,Odisha,Hub 12,runSheet,FHR-171,Type2,13
05-May-20,Odisha,Hub 12,runSheet,FHR-172,Type2,12
05-May-20,Odisha,Hub 12,runSheet,FHR-173,Type2,11
05-May-20,Odisha,Hub 12,runSheet,FHR-174,Type2,7
05-May-20,Odisha,Hub 12,runSheet,FHR-175,Type2,12
05-May-20,Odisha,Hub 12,runSheet,FHR-199,Type2,7
05-May-20,Odisha,Hub 12,runSheet,FHR-176,Type 1,4
05-May-20,Odisha,Hub 12,runSheet,FHR-214,Type 1,13
05-May-20,Odisha,Hub 12,runSheet,FHR-177,Type 1,10
05-May-20,Odisha,Hub 12,runSheet,FHR-178,Type 1,11
05-May-20,Odisha,Hub 12,runSheet,FHR-180,Type 1,8
05-May-20,Odisha,Hub 12,runSheet,FHR-215,Type 1,10
05-May-20,Odisha,Hub 12,runSheet,FHR-181,Type 1,37
05-May-20,South Bengal,Hub 3,runSheet,FHR-182,Type2,5
05-May-20,South Bengal,Hub 3,runSheet,FHR-123,Type2,15
05-May-20,South Bengal,Hub 3,runSheet,FHR-183,Type2,12
05-May-20,South Bengal,Hub 3,runSheet,FHR-127,Type2,11
05-May-20,South Bengal,Hub 3,runSheet,FHR-185,Type2,11
05-May-20,South Bengal,Hub 11,runSheet,FHR-73,Type2,13
05-May-20,South Bengal,Hub 11,runSheet,FHR-74,Type2,11
05-May-20,South Bengal,Hub 11,runSheet,FHR-75,Type2,9
05-May-20,South Bengal,Hub 11,runSheet,FHR-190,Type2,15
05-May-20,South Bengal,Hub 11,runSheet,FHR-216,Type2,17
05-May-20,South Bengal,Hub 11,runSheet,FHR-78,Type2,2
05-May-20,South Bengal,Hub 11,runSheet,FHR-79,Type2,15
05-May-20,South Bengal,Hub 11,runSheet,FHR-80,Type2,8
05-May-20,South Bengal,Hub 11,runSheet,FHR-130,Type2,8
05-May-20,South Bengal,Hub 11,runSheet,FHR-81,Type2,23
05-May-20,South Bengal,Hub 11,runSheet,FHR-131,Type2,27
05-May-20,South Bengal,Hub 11,runSheet,FHR-83,Type2,2
05-May-20,South Bengal,Hub 11,runSheet,FHR-84,Type2,14
05-May-20,South Bengal,Hub 11,runSheet,FHR-85,Type2,7
05-May-20,South Bengal,Hub 11,runSheet,FHR-87,Type2,7
05-May-20,South Bengal,Hub 11,runSheet,FHR-88,Type 3,19
05-May-20,South Bengal,Hub 11,runSheet,FHR-89,Type 3,33
05-May-20,Telangana,Hub 1,runSheet,FHR-132,Type2,5
05-May-20,Telangana,Hub 1,runSheet,FHR-134,Type2,7
05-May-20,Telangana,Hub 1,runSheet,FHR-217,Type2,2
05-May-20,Telangana,Hub 1,runSheet,FHR-218,Type2,2
